id,stage
11_27_66,train
13_35_159,train
6_11_800_,train
7_17_431,train
1_27_88,train
10_35_198,train
4_19_732,train
4_1_268,train
10_0_144,train
12_47_98,train
1_34_172,train
10_24_266,train
8_23_475,train
4_27_724,train
4_18_275,train
1_14_102,train
10_36_239,train
10_2_3,train
5_35_352,train
10_29_86,train
10_39_228,train
10_4_54_,train
10_40_331,train
0_9_27,train
10_4_428,train
3_46_187,train
6_44_780,train
2_20_171,train
9_36_562,train
10_26_373,train
5_14_325,train
5_51_767,train
5_3_318,train
6_35_798,train
12_17_92,train
10_20_147,train
0_17_611_,train
10_20_153,train
12_46_88,train
10_27_46,train
10_16_126,train
1_42_119,train
7_29_822,train
8_50_492,train
11_23_61_,train
10_37_195,train
3_18_295,train
7_23_471,train
10_25_112,train
9_42_563,train
10_31_12,train
2_2_132,train
10_16_86,train
4_31_732,train
3_23_715,train
10_38_105,train
10_31_259,train
4_12_725,train
4_0_268,train
1_25_664,train
7_48_455,train
10_26_188,train
10_27_115,train
13_40_178,train
8_43_472,train
2_32_130,train
9_27_535,train
4_37_286,train
3_9_234,train
10_21_355,train
9_39_853,train
8_18_508,train
1_15_658,train
2_31_676,train
8_25_507,train
7_11_825,train
6_49_795,train
10_32_428,train
10_5_390,train
2_36_676,train
13_34_194_,train
6_26_382,train
10_2_85,train
3_40_698,train
1_44_90,train
6_51_394,train
5_27_337,train
10_34_444,train
2_13_694,train
11_29_9,train
5_42_315,train
6_0_379,train
10_40_457,train
3_38_211,train
4_44_266,train
1_17_81,train
3_50_204,train
12_20_115,train
11_1_33,train
2_9_135,train
7_31_803,train
10_35_68,train
10_13_342,train
4_36_750,train
10_1_354,train
9_45_865,train
13_17_138,train
7_27_825,train
0_34_632,train
4_10_749,train
13_1_183,train
7_27_466,train
3_20_205,train
6_21_489,train
11_7_17,train
4_4_747,train
11_9_67,train
10_9_117,train
4_40_269,train
11_48_53,train
10_18_168,train
3_23_231,train
4_34_746,train
5_18_320,train
13_1_144_,train
6_27_408,train
11_32_33,train
7_11_435,train
0_24_613,train
0_44_630,train
1_6_660,train
7_14_448,train
2_21_685_,train
9_15_550,train
3_7_235,train
10_32_331,train
10_0_239,train
3_16_245,train
5_49_337,train
12_7_119,train
5_44_332,train
8_46_484,train
12_23_75,train
10_2_304,train
3_4_189,train
3_16_706,train
10_35_448,train
6_12_379,train
12_23_128_,train
10_37_351,train
10_7_455,train
6_51_779,train
11_20_49,train
1_37_84,train
8_12_835,train
10_1_432,train
1_8_105,train
6_33_782,train
4_44_261,train
1_49_80,train
8_0_480,train
7_35_817,train
4_20_737_,train
11_35_9,train
10_5_183_,train
0_40_52,train
5_12_314,train
12_12_130,train
2_1_126,train
5_34_333,train
6_1_797,train
6_10_365,train
10_30_403,train
12_35_70,train
9_34_878,train
10_6_464,train
6_28_368,train
5_49_346,train
6_21_376,train
10_9_106,train
9_17_870,train
1_43_648,train
10_2_64,train
6_29_384,train
13_8_139,train
1_31_94,train
5_24_773_,train
10_22_247,train
13_43_202,train
10_2_376,train
0_20_45,train
2_50_183,train
6_40_796,train
6_36_399,train
10_37_171,train
13_31_141_,train
10_2_242,train
6_14_362,train
3_45_201,train
13_22_176,train
10_40_198,train
11_14_15_,train
9_8_866,train
3_6_185,train
2_46_694,train
10_2_374,train
10_0_115,train
10_0_409,train
11_0_59,train
0_24_0,train
10_29_273,train
9_42_879,train
11_44_65,train
11_23_58_,train
6_8_385,train
10_30_449,train
10_30_369,train
0_49_34,train
3_32_201,train
10_0_247,train
1_39_651,train
9_38_560,train
2_3_144,train
10_36_377,train
2_9_673,train
10_9_430,train
10_37_175,train
1_37_638_,train
7_41_449,train
10_31_283,train
13_32_176,train
6_3_364,train
7_49_462,train
4_31_281,train
6_40_480,train
7_50_420,train
8_50_487,train
10_26_424,train
4_28_261,train
11_43_50_,train
5_40_322,train
10_11_56,train
9_26_529,train
8_35_507_,train
10_22_1,train
10_22_5,train
10_8_6,train
10_9_439,train
10_22_7,train
8_5_485,train
10_41_461,train
8_5_845,train
3_14_708,train
1_14_654,train
9_49_877,train
5_30_340,train
1_40_115,train
2_6_680,train
3_41_703,train
12_23_82,train
13_40_198,train
1_26_66,train
0_3_16,train
6_22_790,train
7_33_441,train
3_21_199,train
10_25_73,train
2_8_134,train
13_36_198,train
10_38_318,train
1_27_658,train
10_41_422,train
1_1_82,train
10_34_150,train
0_8_13,train
2_33_675,train
5_1_333,train
0_19_62,train
10_14_194,train
10_39_103,train
11_11_45_,train
10_27_244_,train
3_31_706,train
10_2_214,train
10_20_258,train
6_25_781,train
10_4_43,train
12_8_81,train
6_49_416,train
7_45_420,train
9_37_879,train
11_41_32,train
4_27_299,train
4_40_289,train
0_37_18,train
5_4_351,train
10_12_412,train
3_35_706,train
5_18_753,train
6_7_777,train
9_36_576,train
10_4_336,train
0_1_55,train
2_48_691,train
10_20_297,train
11_32_68,train
5_50_456,train
10_23_234,train
8_30_836,train
0_6_39,train
2_24_147,train
7_5_466,train
6_11_387,train
9_4_561,train
10_7_21,train
3_38_191,train
6_6_793,train
3_18_227,train
10_5_161,train
0_39_46,train
12_36_134,train
10_19_397,train
9_5_549,train
3_36_185,train
5_6_351,train
1_13_101,train
12_10_129,train
13_8_167,train
0_24_35,train
9_10_553,train
10_25_257,train
5_23_338,train
13_19_179,train
8_5_849,train
10_2_168,train
4_29_275,train
10_18_291,train
10_23_86,train
12_13_97,train
10_35_356,train
2_1_163,train
10_30_185,train
9_30_874,train
2_24_157,train
5_5_320,train
10_37_340,train
10_1_25,train
5_3_327,train
7_31_429,train
9_25_554,train
8_23_517,train
9_40_534,train
4_14_740,train
4_17_284,train
10_7_284,train
10_16_176,train
9_6_529,train
7_1_806,train
5_44_756,train
10_31_145,train
8_36_483,train
3_32_713,train
11_43_28,train
10_35_341,train
9_28_861,train
8_14_833,train
6_34_377,train
4_28_739,train
11_5_65,train
3_17_718,train
5_51_324,train
10_27_300,train
10_9_290,train
10_31_159_,train
3_27_216,train
2_47_169,train
10_35_369,train
2_16_125,train
2_42_142,train
7_32_459,train
1_32_112,train
9_5_575,train
5_42_349,train
10_18_335,train
1_16_659,train
10_38_464,train
9_39_582,train
13_30_148,train
1_45_78,train
3_46_239,train
9_13_563,train
11_11_32_,train
4_1_298_,train
13_44_174,train
11_40_47,train
4_3_304,train
5_31_306,train
10_8_303,train
10_24_343,train
10_23_51,train
3_6_243,train
1_2_95,train
7_14_824,train
0_50_47,train
5_28_771,train
13_33_152,train
5_38_361,train
10_19_133,train
4_50_294,train
4_26_739,train
10_23_294,train
10_38_221,train
7_20_805,train
12_3_91,train
9_47_572,train
9_17_871,train
11_47_7,train
9_21_554,train
8_23_501,train
7_41_423_,train
3_10_204,train
13_33_144,train
10_6_301,train
9_19_541,train
8_37_482,train
11_7_24,train
1_14_658,train
8_3_488,train
4_27_268,train
0_33_58,train
10_36_322,train
3_47_236,train
10_31_327,train
8_20_845,train
4_3_732,train
2_40_149,train
10_27_154,train
9_8_534,train
0_21_44,train
8_1_527,train
10_39_38,train
6_7_364,train
12_12_117,train
6_12_781,train
6_46_404,train
0_22_625,train
8_16_848,train
10_27_324,train
7_18_465,train
1_41_76,train
6_21_406,train
10_1_452,train
11_2_5,train
10_20_433,train
10_6_389,train
9_41_866,train
11_50_29,train
3_38_203,train
6_44_792,train
1_40_112,train
13_23_152,train
10_6_231,train
5_9_361,train
1_40_102,train
4_14_731,train
6_0_783,train
8_48_521,train
6_16_378,train
10_34_373,train
4_48_275,train
10_7_401,train
9_47_529,train
0_3_35,train
3_44_702,train
10_1_235,train
1_33_123,train
12_12_108,train
10_41_279,train
10_18_118,train
0_37_615,train
11_4_32,train
9_37_540,train
11_37_46,train
11_14_51,train
10_29_65,train
3_42_705,train
10_31_458,train
1_31_109,train
8_40_484,train
0_48_59,train
7_13_812,train
11_13_34_,train
4_21_740,train
10_8_238,train
10_37_252,train
10_22_246,train
0_13_26,train
0_48_19,train
13_50_138,train
5_44_307,train
10_7_267,train
10_22_63,train
12_25_75,train
6_8_781,train
3_19_705,train
4_15_275,train
13_38_187,train
13_39_164,train
13_47_169,train
4_36_246,train
10_37_248,train
10_22_176,train
10_5_374,train
6_14_413,train
10_2_93,train
10_16_166,train
11_39_0,train
6_49_776,train
4_18_280,train
8_37_517,train
10_12_217,train
9_50_549,train
9_37_531,train
12_49_101,train
3_36_232,train
9_40_866,train
8_42_852,train
7_11_801,train
3_26_222,train
10_31_129,train
10_25_60,train
13_46_182,train
1_34_106,train
6_34_787,train
12_1_90,train
10_6_309,train
1_36_111,train
4_23_269,train
10_23_81,train
10_5_265,train
2_1_145,train
10_0_134,train
9_25_879,train
7_5_813,train
10_40_398,train
9_17_549,train
10_2_416,train
9_17_577,train
11_18_1_,train
10_41_358,train
3_46_203,train
10_9_306,train
9_43_880,train
8_49_523,train
5_36_751,train
10_16_413,train
11_14_39_,train
13_17_172,train
0_46_27,train
5_15_348,train
10_4_197,train
10_12_346,train
9_44_562,train
4_51_292,train
7_19_464,train
9_5_880,train
6_46_796,train
5_5_334,train
11_5_7,train
7_40_460,train
12_38_94,train
11_15_15_,train
2_8_678,train
4_29_251,train
3_32_238,train
8_10_842,train
9_48_865,train
3_27_205,train
13_10_140,train
10_14_25,train
10_24_432,train
0_11_20,train
10_23_198,train
10_2_106,train
10_37_443,train
2_33_130,train
11_18_9_,train
0_22_19,train
11_46_68,train
12_35_135,train
10_21_203,train
1_24_66,train
1_38_210,train
10_7_264,train
10_2_103,train
10_35_3,train
6_40_376,train
11_21_53,train
4_48_269,train
1_10_99,train
10_21_284,train
9_37_562,train
2_16_667,train
5_37_314,train
8_15_527,train
4_26_256,train
11_35_33,train
11_37_18,train
1_31_647,train
11_42_47,train
6_51_796,train
10_38_448,train
10_5_424,train
11_11_3,train
1_25_643,train
10_27_410,train
10_6_335,train
6_6_411,train
13_7_195,train
5_18_764,train
10_19_13,train
4_34_747,train
5_36_343,train
10_34_200,train
9_12_853,train
10_5_444,train
4_44_254,train
6_9_379,train
6_43_415,train
10_11_2,train
10_25_193,train
7_39_444,train
10_26_316,train
2_49_168,train
10_23_67,train
10_13_341,train
0_50_46,train
10_5_10,train
9_12_880,train
2_13_124,train
9_3_855,train
10_4_18,train
10_26_207,train
5_22_320,train
3_46_199,train
5_33_351,train
10_25_307,train
10_24_391,train
10_27_268,train
10_16_301,train
8_31_841,train
3_37_238,train
10_23_218,train
0_49_58,train
2_5_692,train
2_21_133,train
10_39_290,train
10_29_415,train
1_39_66,train
10_38_165,train
10_21_285,train
2_8_155,train
0_41_46,train
2_1_181,train
10_2_208,train
13_15_182,train
4_8_250,train
12_16_72,train
11_11_64_,train
6_24_395,train
10_11_222,train
4_41_271,train
12_37_113,train
10_12_382,train
4_27_274,train
0_38_47,train
12_27_80,train
2_39_688,train
7_0_444,train
4_41_260,train
1_7_107,train
12_1_131,train
6_39_796,train
8_9_521,train
3_37_195,train
3_7_720,train
10_39_341,train
3_1_713,train
5_44_352,train
2_41_124,train
12_42_108,train
0_29_621,train
10_24_330,train
10_4_80,train
7_19_466,train
10_0_67,train
3_41_698,train
2_21_241,train
6_48_395,train
10_13_105,train
13_15_149,train
5_30_333,train
11_38_1,train
3_42_226,train
10_12_242,train
10_18_245,train
7_5_448,train
9_23_574,train
10_8_207,train
8_49_511,train
0_15_41,train
6_33_411,train
2_8_124,train
7_23_457,train
1_25_73,train
10_8_309,train
4_51_725,train
3_25_202,train
10_7_36,train
5_35_349,train
1_44_652,train
13_20_202,train
6_9_417,train
10_24_352,train
0_19_8,train
12_45_95,train
2_36_127,train
6_8_789,train
10_4_280,train
5_4_341,train
2_49_177,train
5_36_324,train
10_9_299,train
12_21_90,train
10_1_56,train
12_5_108,train
3_17_213,train
10_22_398,train
10_40_133,train
0_40_46,train
4_26_275,train
5_4_342,train
7_23_433,train
9_41_529,train
12_24_85,train
10_25_385,train
10_0_63,train
10_5_173,train
10_24_117,train
1_40_653_,train
10_14_237,train
1_21_105,train
9_8_579,train
10_6_32,train
9_4_869,train
10_7_367,train
13_11_158,train
9_24_542,train
7_35_448,train
11_34_2,train
8_4_481,train
11_44_8,train
10_19_146,train
10_35_181,train
12_37_119,train
9_24_530,train
13_10_174,train
4_15_256,train
11_33_5,train
10_12_29_,train
11_1_40,train
3_2_225,train
13_32_142_,train
10_2_101,train
11_22_39,train
1_13_116,train
8_44_852,train
13_21_150,train
0_22_11,train
10_20_101,train
10_7_3,train
9_42_871_,train
10_0_309,train
6_8_411,train
10_1_440,train
13_6_188,train
3_7_188,train
13_42_159,train
11_17_62_,train
8_37_519,train
11_45_26,train
5_31_751,train
12_33_89,train
10_19_32,train
10_7_184,train
9_42_870,train
13_50_157,train
4_3_291_,train
11_25_51_,train
6_33_417,train
8_43_506,train
6_39_367,train
2_42_179,train
8_14_850,train
12_13_114,train
10_0_316,train
10_19_100,train
10_40_144,train
12_43_98,train
11_6_10_,train
10_16_83_,train
0_44_0,train
10_9_253,train
10_27_234,train
12_20_86,train
10_0_143,train
10_11_268,train
7_35_447,train
6_12_786,train
5_33_772,train
3_4_226,train
11_38_61,train
10_14_44,train
10_12_348,train
3_37_205,train
13_39_192,train
12_6_128_,train
1_27_115,train
2_8_181,train
10_38_277,train
5_27_355,train
6_35_372,train
7_16_520,train
10_19_215,train
11_45_16,train
10_0_62,train
8_27_492,train
1_17_123,train
9_11_543,train
10_14_429,train
10_12_454,train
2_43_124,train
10_0_16,train
10_7_256,train
8_5_482,train
11_17_44_,train
10_21_260,train
10_7_403,train
13_49_142_,train
10_24_16,train
6_1_406,train
1_0_70,train
10_36_264,train
13_12_180,train
2_46_166,train
9_17_552,train
10_5_406,train
10_30_76,train
10_36_293,train
10_0_453,train
3_11_195,train
9_2_576,train
10_31_36,train
10_4_382,train
0_7_35,train
4_5_253,train
12_14_97,train
2_29_678,train
1_4_637,train
7_15_424,train
4_8_726,train
1_16_653_,train
10_2_282,train
11_47_69,train
10_1_111,train
2_14_168,train
9_51_554,train
7_31_817,train
12_38_81,train
10_34_250,train
10_11_277,train
1_4_109,train
8_41_848,train
13_42_147,train
12_28_83,train
3_42_709,train
10_11_94,train
5_43_327,train
10_8_280,train
3_43_203,train
6_39_387,train
6_28_374,train
4_3_264_,train
13_19_142_,train
8_39_836_,train
3_45_701,train
0_9_49,train
4_42_256,train
3_5_243,train
3_25_698,train
7_12_813,train
0_35_48_,train
11_40_42,train
6_35_785,train
12_39_103,train
10_31_292,train
8_11_479,train
10_25_280,train
0_13_2,train
6_18_366,train
10_24_109,train
6_12_409,train
10_4_129,train
8_12_479,train
11_17_9_,train
9_47_537,train
6_34_781,train
6_17_398,train
5_30_353,train
10_38_346,train
0_45_6,train
11_33_37,train
11_6_40,train
10_19_297,train
12_22_81,train
1_32_664,train
10_8_300,train
0_31_619,train
10_13_472,train
7_30_807,train
3_25_212,train
6_9_789,train
4_5_281,train
4_31_272,train
9_47_550,train
10_21_144,train
10_11_148,train
7_23_458,train
7_22_822,train
10_20_455,train
10_6_126,train
3_2_242,train
8_46_506,train
5_7_758,train
12_45_118,train
10_1_61,train
2_51_178,train
10_5_402,train
10_38_88,train
9_27_853,train
10_12_306,train
10_37_91,train
7_4_458,train
10_31_265,train
2_2_158,train
10_38_96,train
0_18_100,train
10_14_97,train
10_5_466,train
7_34_420,train
10_6_292,train
6_4_774,train
10_16_162_,train
10_6_468,train
10_9_41,train
2_12_173,train
4_49_727,train
2_17_167,train
13_7_150,train
10_30_87,train
0_24_100,train
0_6_612,train
10_29_4,train
13_17_195_,train
10_20_94,train
10_23_146,train
7_46_457,train
10_6_433,train
0_11_9,train
4_8_745,train
10_40_334,train
7_24_810,train
7_24_440,train
9_30_879,train
11_46_47,train
10_31_287,train
6_32_416,train
5_39_756,train
12_20_79,train
13_10_169,train
4_40_737_,train
0_41_61,train
10_2_367,train
10_34_429,train
10_31_446,train
10_4_34,train
4_4_263,train
10_19_438,train
10_1_252,train
13_37_171,train
3_45_706,train
1_28_643,train
12_4_133,train
11_29_6,train
1_17_106,train
6_9_362,train
11_31_17,train
0_1_45,train
7_51_422,train
10_5_472,train
7_25_466,train
13_9_155,train
11_7_3,train
1_0_87,train
10_40_436,train
0_21_620,train
13_3_176,train
10_36_278,train
0_20_38,train
10_18_92,train
6_42_789,train
5_30_761,train
7_28_454,train
8_48_847,train
0_21_625,train
1_10_655,train
3_22_243,train
1_9_76,train
2_41_671,train
10_6_116,train
3_27_226,train
12_45_84,train
7_12_448,train
2_46_677,train
1_40_210,train
2_3_677,train
3_34_200,train
10_11_418,train
10_31_431,train
0_50_59,train
10_25_49,train
10_40_220,train
10_29_209,train
10_2_369,train
8_50_850,train
10_0_57,train
10_36_185,train
2_6_148,train
10_5_156,train
0_51_33,train
11_31_34,train
10_22_440,train
3_43_199,train
10_22_199,train
10_23_9,train
2_2_682,train
7_10_809,train
0_18_47,train
1_32_222,train
11_38_24,train
10_24_328,train
8_1_838,train
7_27_433,train
3_9_242,train
11_26_42,train
12_38_115,train
10_24_172,train
10_19_57,train
10_18_467,train
7_30_802,train
10_4_279,train
0_44_42,train
0_29_34,train
10_37_407,train
10_7_379,train
7_7_804,train
0_27_52,train
1_27_86,train
2_27_678,train
0_4_46,train
7_34_452,train
5_7_765,train
4_28_266,train
10_23_424,train
10_38_130,train
3_15_235,train
0_5_57,train
10_41_114_,train
10_22_425,train
2_40_177,train
5_40_764,train
2_32_678,train
10_12_396,train
4_42_284,train
8_33_513_,train
13_49_204,train
10_20_163,train
1_15_108,train
5_37_325,train
0_47_22,train
3_15_238,train
2_27_139,train
12_48_78,train
3_9_698,train
10_26_416_,train
11_22_34_,train
10_24_344,train
5_42_757,train
12_5_101,train
10_37_380,train
10_16_205,train
8_19_516,train
8_34_849,train
12_44_112,train
9_49_528,train
0_30_0,train
8_23_483,train
13_7_166,train
10_11_320,train
10_12_54_,train
1_50_177,train
2_14_142,train
7_50_427,train
1_8_104,train
8_26_475,train
11_36_41,train
10_35_136_1,train
5_35_315,train
10_25_214,train
4_43_257,train
11_11_27,train
10_27_11,train
10_1_418,train
6_26_417,train
0_38_16,train
10_16_256,train
9_2_580,train
9_34_853,train
3_46_191,train
4_16_297,train
8_34_477,train
0_41_26,train
3_49_712,train
12_50_99,train
6_27_379,train
7_50_422,train
11_51_45,train
9_19_861,train
11_20_13_,train
0_34_61,train
13_36_182,train
13_42_168,train
13_11_142_,train
5_50_307,train
0_38_615,train
1_40_117_,train
13_30_174,train
4_37_728,train
10_25_78,train
10_25_341,train
10_9_392,train
7_30_444,train
10_34_463,train
4_37_744_,train
12_13_101,train
13_40_181,train
0_46_49,train
12_48_95,train
0_23_624,train
5_16_353,train
0_37_36,train
4_31_251,train
7_13_464,train
10_27_420,train
1_46_646,train
5_16_325,train
9_20_520,train
2_9_142,train
11_1_25,train
2_3_124,train
7_13_423,train
0_32_47,train
9_1_878,train
7_22_559,train
11_14_5_,train
13_28_165,train
8_43_496,train
13_2_175,train
10_2_437,train
5_48_331,train
5_4_352,train
10_1_406,train
10_24_369,train
10_11_284,train
2_6_686,train
10_5_242,train
1_14_90,train
0_5_41,train
13_50_153,train
10_34_32,train
10_34_86,train
6_11_489,train
4_13_742,train
5_27_358,train
5_0_761,train
13_48_199,train
7_13_435,train
9_11_536,train
10_8_29,train
11_33_1,train
10_32_11,train
10_18_88,train
5_22_354,train
10_7_218,train
5_8_771,train
13_26_139,train
12_35_102,train
7_14_423,train
9_30_553,train
2_41_134,train
4_8_749,train
8_44_829,train
2_44_674,train
7_6_452,train
3_44_213,train
8_11_478,train
7_29_803,train
0_40_47,train
10_30_72,train
3_22_212,train
0_37_634,train
6_22_414,train
7_0_420,train
4_3_748,train
0_29_0,train
1_38_88,train
0_17_620,train
12_2_84,train
6_44_776,train
8_22_497,train
3_37_709,train
13_0_196,train
7_1_460,train
7_7_467,train
3_38_237,train
1_21_97,train
0_47_623,train
3_33_245,train
12_40_84,train
4_0_750,train
9_7_863,train
6_25_372,train
9_41_534,train
10_9_88,train
1_44_119,train
1_51_650,train
0_21_23,train
4_7_260,train
10_23_280,train
4_24_250,train
8_0_509,train
2_27_673,train
12_14_128_,train
4_36_726,train
9_22_574,train
3_26_221,train
4_41_723,train
7_31_449,train
6_33_370,train
9_24_520,train
6_48_391,train
7_46_464,train
10_14_418,train
6_34_392,train
5_43_764,train
8_46_845,train
3_12_214,train
0_1_25,train
10_39_141,train
9_5_869,train
11_26_27,train
10_23_217,train
5_32_313,train
9_51_869,train
7_11_447,train
13_20_152,train
0_10_1,train
13_38_180,train
7_28_470,train
0_35_632,train
5_23_339,train
9_26_538,train
7_34_462,train
10_27_381,train
1_41_639,train
2_38_686,train
10_0_119,train
10_29_414,train
11_1_21,train
4_3_742,train
10_2_268,train
7_8_816,train
10_5_445,train
2_35_687,train
0_47_49,train
3_9_201,train
2_41_133,train
6_9_780,train
11_42_35,train
1_8_648,train
10_6_344,train
10_24_212,train
9_40_570,train
10_39_277,train
10_16_202,train
10_39_77,train
13_51_179,train
3_10_227,train
13_20_171,train
12_17_89,train
9_14_855,train
13_15_176,train
10_4_343,train
2_3_678,train
7_3_457,train
1_3_71,train
10_39_25,train
12_43_135,train
2_5_689,train
2_25_159,train
13_23_160,train
2_36_678,train
6_2_372,train
3_43_243,train
4_25_295,train
11_37_0,train
4_42_287,train
10_8_370,train
4_38_254,train
13_28_204,train
6_9_375,train
1_15_64,train
0_8_14,train
9_44_536,train
12_11_71,train
6_44_786,train
8_50_515,train
6_19_372,train
6_32_385,train
4_44_304,train
7_50_432,train
13_36_171,train
11_51_36,train
10_13_271,train
10_23_288,train
11_46_0,train
4_50_296,train
11_40_57,train
3_1_702,train
6_4_784_,train
10_7_197,train
1_3_67,train
4_21_284,train
4_37_269,train
4_30_291,train
10_9_185,train
9_1_855,train
10_24_277,train
4_28_250,train
0_44_23,train
10_11_175,train
9_5_572,train
5_37_336,train
8_41_843,train
5_10_360,train
1_47_179,train
6_42_378,train
9_5_854,train
1_2_117,train
3_23_239,train
10_20_65,train
6_19_415,train
7_27_464,train
0_41_1,train
4_22_725,train
10_19_432,train
9_28_533,train
2_17_687,train
4_33_273,train
10_20_417,train
9_0_854,train
10_5_5,train
10_35_81,train
3_47_705,train
6_21_796,train
9_23_555,train
10_27_241,train
5_6_320,train
7_20_447,train
9_33_540,train
13_13_154,train
11_6_32,train
9_30_853,train
8_17_512,train
4_31_286,train
11_2_21,train
10_27_438,train
3_49_722,train
11_51_10,train
5_25_337,train
10_7_337,train
7_5_471,train
6_7_796,train
10_18_273,train
3_23_245,train
3_42_222,train
10_18_386,train
3_32_231,train
13_43_164,train
13_34_151,train
7_50_443,train
12_39_70,train
4_36_282,train
5_7_326,train
1_34_637,train
9_26_853,train
12_21_131,train
0_17_32,train
5_43_771,train
10_13_447,train
6_24_367,train
4_49_275,train
10_8_392,train
10_7_61,train
10_5_447,train
1_48_169,train
10_6_25,train
7_8_451,train
13_22_146,train
0_17_29,train
10_19_203,train
10_6_339,train
11_35_31,train
8_22_851,train
5_44_438,train
2_19_126,train
8_8_522,train
10_25_369,train
10_30_456,train
0_5_25,train
9_10_558,train
10_36_302,train
4_29_268,train
10_23_407,train
13_51_192,train
0_24_26,train
2_28_149,train
11_14_33_,train
7_22_456,train
8_33_508,train
13_46_150,train
10_37_6,train
9_15_553,train
4_42_730,train
13_8_157,train
6_1_782,train
1_31_651,train
10_30_197,train
9_35_578,train
6_0_781,train
1_1_648,train
5_25_311,train
10_8_142,train
5_49_771,train
10_30_291,train
10_39_471,train
7_3_451,train
10_37_106,train
4_0_734,train
10_13_214,train
10_18_288,train
9_45_861,train
3_8_206,train
10_31_162,train
10_6_363_,train
5_1_360,train
10_1_194,train
8_22_480_,train
3_3_721,train
10_5_467,train
0_49_618,train
0_35_636,train
3_2_186,train
10_27_152,train
4_4_726,train
12_9_80,train
10_5_199,train
10_22_138,train
4_12_726,train
10_11_72,train
10_21_82,train
1_37_637,train
10_35_282,train
10_9_472,train
7_43_444,train
9_39_575,train
2_29_164,train
10_9_110,train
10_18_227,train
10_35_100,train
10_24_350,train
1_29_100,train
10_25_249,train
9_17_556,train
10_1_65,train
10_38_442_,train
11_8_50_,train
10_18_116,train
5_1_307,train
1_13_85,train
8_33_479,train
10_9_57,train
12_2_86,train
10_38_337,train
3_34_709,train
10_21_165,train
12_29_115,train
10_7_405,train
6_12_387,train
2_49_136,train
3_3_206,train
10_30_124,train
11_38_4_,train
10_41_117,train
10_9_332,train
0_1_27,train
4_5_737,train
10_31_236,train
9_44_563,train
2_39_182,train
10_31_297,train
4_29_279,train
0_21_46,train
5_32_325,train
10_34_0,train
11_11_34,train
9_6_528,train
12_21_112,train
7_24_456,train
11_21_44_,train
10_12_205,train
2_13_147,train
5_22_762,train
12_25_98_,train
1_6_102,train
7_51_808,train
10_2_153,train
13_33_171,train
11_5_62,train
13_39_149,train
13_32_147,train
6_44_372,train
12_33_123,train
2_28_162,train
4_27_260,train
13_47_168,train
6_46_777,train
4_23_304,train
3_7_707_,train
9_21_855,train
4_11_257,train
9_13_569,train
9_13_531,train
12_4_111,train
0_40_28,train
10_38_454,train
